wordcount;titleSentiment;textSentiment;sentimentValue;Star Rating
23.0;-1.0;-1.0;-0.4863892549767946;1
20.0;-1.0;-1.0;-0.5861874727339228;1
4.0;0.0;-1.0;-0.6022402747857277;1
17.0;0.0;-1.0;-0.6162712056633162;1
6.0;-1.0;-1.0;-0.6517836008462109;1
8.0;1.0;-1.0;-0.7204429256151285;1
23.0;1.0;-1.0;-0.7268254087888714;1
16.0;1.0;-1.0;-0.7367694709092752;1
21.0;1.0;-1.0;-0.765283702598727;1
13.0;-1.0;-1.0;-0.7979612300412889;1
4.0;1.0;-1.0;-0.8334875979937725;1
9.0;-1.0;-1.0;-0.8384665315151861;1
4.0;1.0;-1.0;-0.8885590350462715;1
23.0;-1.0;-1.0;-1.002696144743075;1
14.0;-1.0;-1.0;-1.0832692852163408;1
20.0;1.0;-1.0;-1.0981097654004746;1
26.0;-1.0;-1.0;-1.1044687905632284;1
7.0;1.0;-1.0;-1.1122230773375148;1
5.0;1.0;-1.0;-1.2754114957137634;1
22.0;1.0;-1.0;-1.2860092681818858;1
13.0;1.0;-1.0;-1.455639534574406;1
7.0;-1.0;-1.0;-1.4794328016280442;1
18.0;-1.0;-1.0;-1.4983055361035678;1
4.0;1.0;-1.0;-1.780889062388097;1
2.0;1.0;-1.0;-2.276469027404202;1
29.0;1.0;1.0;0.10767141790243917;1
30.0;-1.0;1.0;-0.0626158036127862;2
63.0;1.0;1.0;-0.06328214227918394;2
33.0;-1.0;1.0;-0.13013846864374606;2
34.0;1.0;1.0;-0.2017099026902854;2
76.0;0.0;-1.0;-0.29519369790259514;2
34.0;-1.0;-1.0;-0.5529856995159401;2
36.0;-1.0;-1.0;-0.6150217745307491;2
63.0;-1.0;-1.0;-0.6422284312075216;2
45.0;1.0;-1.0;-0.7478047635470271;2
27.0;1.0;-1.0;-0.769308686900702;2
32.0;-1.0;-1.0;-0.9501209717417881;2
103.0;-1.0;-1.0;-1.7072675742817744;2
22.0;-1.0;1.0;0.05284059831051055;2
20.0;1.0;1.0;0.057927909239582936;2
27.0;1.0;1.0;0.07377855452117438;2
9.0;0.0;1.0;-0.012039393687097305;3
13.0;1.0;1.0;-0.015018770703305123;3
15.0;1.0;1.0;-0.02203456782761065;3
3.0;1.0;1.0;-0.036155269731245915;3
6.0;1.0;1.0;-0.0484385138839592;3
20.0;1.0;1.0;-0.06175483455750447;3
3.0;1.0;1.0;-0.06548326036342844;3
13.0;1.0;1.0;-0.0704406232354751;3
9.0;1.0;1.0;-0.07448342800403986;3
1.0;1.0;1.0;-0.08346704904653583;3
1.0;1.0;1.0;-0.08346704904653583;3
5.0;1.0;1.0;-0.08882448599132552;3
2.0;1.0;1.0;-0.08963883232680414;3
7.0;1.0;1.0;-0.09240115128518386;3
15.0;1.0;1.0;-0.09638654904084853;3
23.0;1.0;1.0;-0.10042182354190893;3
4.0;1.0;1.0;-0.10649843745783119;3
9.0;1.0;1.0;-0.1074556652070253;3
3.0;1.0;1.0;-0.10775523999516728;3
8.0;1.0;1.0;-0.10814371461498165;3
10.0;0.0;1.0;-0.11096697038982636;3
6.0;1.0;1.0;-0.11431720347482052;3
3.0;1.0;1.0;-0.11613173926055574;3
19.0;-1.0;1.0;-0.13794345046074333;3
1.0;1.0;1.0;-0.139860755685693;3
1.0;1.0;1.0;-0.139860755685693;3
1.0;0.0;1.0;-0.139860755685693;3
1.0;0.0;1.0;-0.139860755685693;3
1.0;1.0;1.0;-0.17170072936267156;3
1.0;1.0;1.0;-0.2130919859236215;3
7.0;1.0;1.0;-0.2274631454462939;3
2.0;1.0;1.0;-0.23629542044756485;3
5.0;1.0;1.0;-0.24672980955038815;3
4.0;1.0;1.0;-0.2560262204901055;1
4.0;-1.0;1.0;-0.25611160754397866;3
17.0;1.0;1.0;-0.2576389991643603;3
23.0;-1.0;-1.0;-0.30049061998663495;3
4.0;1.0;-1.0;-0.31181988969029617;1
13.0;1.0;-1.0;-0.348732833470111;1
12.0;-1.0;-1.0;-0.35579036269293624;1
6.0;1.0;-1.0;-0.36533658725483215;1
14.0;-1.0;-1.0;-0.3761207999456423;1
7.0;0.0;-1.0;-0.3968495101172904;1
28.0;1.0;-1.0;-0.40662337811518157;3
5.0;-1.0;-1.0;-0.43963932618471047;1
23.0;1.0;-1.0;-0.4467301899351924;3
7.0;1.0;-1.0;-0.4656456056672159;1
4.0;-1.0;-1.0;-0.4661015340821958;1
18.0;-1.0;-1.0;-0.4937843434171307;1
20.0;0.0;1.0;0.001545803154976988;3
5.0;1.0;1.0;0.004819817714089875;3
4.0;1.0;1.0;0.020339695161504356;3
19.0;1.0;1.0;0.034394297057358386;3
17.0;1.0;1.0;0.0351123421389235;3
12.0;1.0;1.0;0.0398963636518567;3
3.0;1.0;1.0;0.042368593546182276;3
9.0;1.0;1.0;0.04847532327064269;3
5.0;1.0;1.0;0.06669354795085583;3
6.0;1.0;1.0;0.07815662120106984;3
2.0;1.0;1.0;0.08126441115899682;3
18.0;1.0;1.0;0.10467416228013082;3
4.0;0.0;1.0;0.12512618262801434;3
15.0;1.0;1.0;0.13208709472507923;3
5.0;1.0;1.0;0.1362066817120937;3
4.0;0.0;1.0;0.13688160628659302;3
1.0;1.0;1.0;0.15190035179953837;3
1.0;1.0;1.0;0.1531406057644038;3
6.0;1.0;1.0;0.15743590695210297;3
6.0;1.0;1.0;0.1606161692201734;3
4.0;1.0;1.0;0.17065059065492616;3
16.0;1.0;1.0;0.19001489537875332;3
12.0;1.0;1.0;0.20119861104954473;3
9.0;1.0;1.0;0.21267373358731967;3
11.0;1.0;1.0;0.2182298800874059;3
4.0;1.0;1.0;0.23771686243040357;3
8.0;1.0;1.0;0.238395932002064;3
11.0;1.0;1.0;0.24471265082844584;3
6.0;1.0;1.0;0.2468685639154956;3
11.0;1.0;1.0;0.28162417593293426;3
8.0;1.0;1.0;0.28367333153992996;3
1.0;1.0;1.0;0.28822360929798374;3
10.0;1.0;1.0;0.2972720086344186;3
1.0;0.0;1.0;0.29744333319453975;3
3.0;0.0;1.0;0.2977907584894947;3
5.0;-1.0;1.0;0.3015209006692449;3
22.0;1.0;1.0;0.30842387138567967;3
2.0;1.0;1.0;0.3104676549447563;3
2.0;1.0;1.0;2.066293714165454;3
1.0;1.0;1.0;2.4949019031120727;3
7.0;1.0;1.0;0.10711075562158764;4
38.0;1.0;1.0;0.13676550040935065;2
49.0;1.0;1.0;0.14560205757193667;2
28.0;1.0;1.0;0.157160061233533;2
52.0;-1.0;1.0;0.19329080459562248;2
17.0;0.0;1.0;0.19928278219322493;4
34.0;1.0;1.0;0.2145432505538597;2
49.0;1.0;1.0;0.22681934668879733;2
16.0;-1.0;1.0;0.23671299974719007;4
42.0;1.0;1.0;0.26409099099319566;2
22.0;0.0;1.0;0.27299127768796616;4
4.0;1.0;1.0;0.3159142897489563;4
42.0;-1.0;1.0;0.3195760966430152;2
27.0;1.0;1.0;0.35809490388507426;2
35.0;1.0;1.0;0.3972941362709064;4
17.0;1.0;1.0;0.4009862986582935;4
16.0;1.0;1.0;0.4723618536219514;4
21.0;1.0;1.0;0.5114589565782479;4
16.0;1.0;1.0;0.5130354559770571;4
21.0;1.0;1.0;0.5288740718201562;4
21.0;1.0;1.0;0.5819337314075256;4
12.0;-1.0;1.0;0.7433646662511416;4
25.0;1.0;1.0;0.8083844566577392;4
25.0;1.0;1.0;0.8135213140892275;4
30.0;1.0;1.0;0.8709106029180158;4
19.0;1.0;1.0;0.9115975679701867;4
10.0;1.0;1.0;2.0785325950993263;4
4.0;1.0;1.0;0.31941155594564963;5
3.0;1.0;1.0;0.33554752905825097;5
9.0;1.0;1.0;0.340635632699804;5
1.0;1.0;1.0;0.340837500179434;5
9.0;1.0;1.0;0.34492867716290615;5
2.0;1.0;1.0;0.3730127762637939;5
5.0;1.0;1.0;0.3772858629714271;5
1.0;1.0;1.0;0.4105840889977529;5
12.0;1.0;1.0;0.4169960651198418;4
8.0;1.0;1.0;0.43601232889025476;5
13.0;1.0;1.0;0.458069977730335;4
6.0;1.0;1.0;0.46259171937988186;5
7.0;-1.0;1.0;0.47537761398081535;5
12.0;1.0;1.0;0.5020110593028815;4
2.0;1.0;1.0;0.5313428364649476;5
2.0;1.0;1.0;0.5565330772558457;5
11.0;1.0;1.0;0.5907584355916051;4
5.0;1.0;1.0;0.5983660634855417;5
12.0;1.0;1.0;0.6265411347953563;4
5.0;0.0;1.0;0.6340958807855093;5
6.0;1.0;1.0;0.644796831841997;5
8.0;1.0;1.0;0.6474717935270584;5
2.0;1.0;1.0;0.6507921259936814;5
7.0;1.0;1.0;0.6516914337116528;5
9.0;1.0;1.0;0.660120247655165;5
12.0;1.0;1.0;0.6642221183609911;4
11.0;1.0;1.0;0.6665217815523699;5
5.0;1.0;1.0;0.670468060537199;5
3.0;1.0;1.0;0.6801670421347353;5
6.0;1.0;1.0;0.6818796304787703;5
3.0;-1.0;1.0;0.6819368123322846;5
10.0;-1.0;1.0;0.6930388877217459;5
